, Zhuque,Musl
Deltablue, 1.616603, 	1.601617
Genshi, 4.096597,	4.157994
Chameleon, 2.445255,	2.431189
Fannkuch, 5.154563,	4.934063
Go, 1.888777,		1.89425
Django_template, 3.930983,	3.933721
Crypto_pyaes, 3.35579,		2.61443
Float, 23.976166,		23.717687
