,Zhuque, Zhuque (original kernel), Zhuque on DRAM,Musl(original kernel)
createjoin_serial1,	1.531055349,	1.246128836,	1.102986628,	0.237299250
createjoin_serial2,	0.633154515,	0.717752548,	0.700217908,	0.099627479
create_serial1,		0.640188466,	0.652938876,	0.568402963,	0.099980465
uselesslock,		0.041446442,	0.041308256,	0.040631379,	0.038519465
createjoin_minimal1,	1.425315414,	1.277428020,	1.052091668,	0.257586124
createjoin_minimal2,	0.781140747,	0.788353133,	0.539927932,	0.114384343
