,Zhuque,Zhuque(original kernel),Zhuque on DRAM,Musl(original kernel)
anon_slab,	0.225055632,	0.227054335,	0.220611561, 	0.220593665
anon_chunks,	0.344358147,	0.367263334,	0.369020619,	0.238593503
file_slab,	0.727353972,	0.674985102,	0.608750355,	0.503024076
file_chunks,	1.251157651,	1.289600720,	0.628597873,	0.294606336
files_chunks,	1.536816055,	1.580796215,	0.817976066,	0.434661417
