,XFS-DAX,Ext4-DAX,Ext4-Dataj,NOVA,NOVA+MP,NOVA+MP+WP
1,1.408,1.131,0.534,0.971,0.754,0.627
2,3.097,1.867,0.614,2.126,1.604,1.202
4,6.074,3.103,0.605,4.136,2.93,2.154
8,10.965,3.144,0.611,7.283,5.746,3.862
16,11.544,3.343,0.594,12.129,9.298,5.313
