,XFS-DAX,Ext4-DAX,Ext4-Dataj,NOVA,NOVA+MP,NOVA+MP+WP,NOVA+MP+DP,NOVA+MP+DP+WP,NOVA-Relaxed
fileserver,154725,172949,28289,495684,494634,489841,455885,409568,505419
varmail,139805,193594,144888,610203,610196,610203,601777,598115,615819
webproxy,221027,347361,201823,553506,545508,539622,549055,534619,557804
webserver,672345,597428,201823,692370,693048,688875,689901,683026,687099
rocksdb,20558,17759,5224,27214,25017,21670,20089,16698,28956
mongodb,67478,66653,59550,73582,71821,71368,71980,70338,74664
sqlite,54146,46745,36823,126476,123180,115503,116163,101886,135930
