,XFS-DAX,Ext4-DAX,Ext4-Dataj,NOVA,NOVA+MP,NOVA+MP+WP,NOVA+MP+DP,NOVA+MP+DP+WP,NOVA-Relaxed
Create,16.579,8.04,9.058,4.118,6.07,6.919,5.884,6.92,4.212
Append (4K),13.752,14.078,14.391,2.646,3.607,4.423,5.311,6.511,2.737
Write (4K),3.228,4.208,10.751,2.857,4.144,5.19,5.622,7.283,2.008
Write (512B),1.777,2.945,3.543,2.567,3.913,5.319,6.535,8.216,0.677
Read (4K),1.401,1.249,0.854,0.963,0.981,0.975,1.634,1.644,0.948
