,XFS-DAX,Ext4-DAX,Ext4-Dataj,NOVA,NOVA+MP,NOVA+MP+WP,NOVA+MP+DP,NOVA+MP+DP+WP,NOVA-Relaxed
1,2.322,2.409,2.747,2.557,2.557,2.167,1.53,1.498,2.57
2,5.008,4.847,4.916,5.076,4.996,4.97,3.275,3.236,5.293
4,9.502,9.318,8.5,9.238,9.19,9.13,6.345,6.299,9.804
8,17.379,16.846,16.278,16.863,16.607,16.892,11.816,11.943,17.567
16,19.663,19.737,26.695,24.447,23.78,23.721,20.852,20.405,19.704
