,Zhuque,Mnemosyne-volatile-cache,Mnemosyne-FoF,PMDK-volatile-cache,PMDK-FoF,Clobber-NVM-volatile-cache,Clobber-NVM-FoF
95% Insert-5% Search,	10.9,	3.0,	3.4,	3.6,	4.4,    5.5, 6.6
75% Insert-25% Search,	11.3,	3.4,	4.0,	4.6,	5.8, 5.8, 8.7
25% Insert-75% Search,	14.0, 	4.7,	5.8,	6.6,	10.7,	6.9,	12.2
5% Insert-95% Search,	15.1,	5.2,	6.7,	7.3,	12.1,	7.4, 	13.0
