,Baseline, Native,Zhuque, Mnemosyne,PMDK,Clobber-NVM
1,      17.6, 17.6,  13.6,	4.2,	8.4, 	8.5
2,      17.4, 17.4,  13.7,	6.4,	10.1,	11.7
4,      17.5, 17.5,  13.7,	8.1,	10.4,	11.9
8,      17.6, 17.6,  13.9,	8.0,	10.5,	11.8
16,     17.5, 17.5,  13.8,	7.3,	10.6,	11.9
24,     17.4, 17.4,  13.7,	5.8,	10.7,	12.2
