,Baseline,Native,Zhuque, Mnemosyne,PMDK,Clobber-NVM
1,	14.6, 14.6,			11.1,	3.1,	6.1, 	6.5
2,	15.5, 15.5,			11.0,	4.8,	5.9,	8.7	
4,	14.8, 14.8,			11.1,	5.0,	5.9,	8.7
8,	15.2, 15.2,			11.2,	4.9,	5.8,	8.7
16,	14.3, 14.3,			11.2,	4.6,	5.9,	8.7
24,	15.2, 15.2,			11.3,	4.0,	5.9,	8.7
