,       Baseline, Native,  Zhuque
1,      14.6, 13.2,  12.9,
2,      15.5, 22.4,  21.8,
4,      14.8, 37.4,  35.7,
8,      15.2, 59.1,  40.7,
16,     14.2, 53.2,  42.9,
24,     15.2, 57.8,  38.3,
