,       Baseline, Native,  Zhuque,
1,      17.6, 16.1,  16.1,
2,      17.4, 26.9,  26.7
4,      17.5, 43.1,  41.9,
8,      17.6, 80.4,  77.2,
16,     17.5, 105.2, 97.2,
24,     17.4, 103.4, 91.4,
